trId	geneId	NA06984	NA06985	NA06986	NA06989	NA06994	NA07037	NA07048	NA07051	NA07056	NA07346	NA07347	NA07357	NA10847	NA10851	NA11829	NA11830	NA11831	NA11832	NA11840	NA11843	NA11881	NA11892	NA11893	NA11894	NA11918	NA11920	NA11930	NA11931	NA11992	NA11993	NA11994	NA11995	NA12004	NA12005	NA12006	NA12043	NA12044	NA12045	NA12058	NA12144	NA12154	NA12155	NA12156	NA12234	NA12249	NA12272	NA12273	NA12275	NA12282	NA12283	NA12286	NA12287	NA12340	NA12341	NA12342	NA12347	NA12348	NA12383	NA12399	NA12400	NA12413	NA12489	NA12546	NA12716	NA12717	NA12718	NA12749	NA12750	NA12751	NA12760	NA12761	NA12762	NA12763	NA12775	NA12776	NA12777	NA12778	NA12812	NA12813	NA12814	NA12815	NA12827	NA12829	NA12830	NA12842	NA12843	NA12872	NA12873	NA12874	NA12889	NA12890
ENST00000341658.5	ENSG00000126259.10	0	0	2	5.032577	0	5.95265	4.405544	2.546651	3.098631	8.799891	0	0	3.803326	5.337657	7.210503	11.771678	0	3.668372	0	3.232678	0	1.938543	0	0	10.547177	4.615716	0	0	0.933652	12.226348	5.15743	0	0	3.558151	3.240003	0	0	0	21.978172	0	2.638209	0	4.521114	0	0	0	0.66708	0	0	27.916075	0	0	0	4	6.834668	0	0	0	0	0	4.040566	0	0	0	0	0	0	0	0	2	0	2	3.719667	0	4.559166	8.942983	8.217435	0	0	8	15.557613	6.329378	0	0	4	1.871217	3.795395	0	0	6	0
ENST00000262625.6	ENSG00000126259.10	0	0	0	0	0	0	1.501821	0	0.901369	0	0	0	0	6.662343	0.700114	1.873799	0	0	0	0	0	0	0	0	0	1.063768	0	0	5.959316	0	0	0	0	0	0	0	0	0	0	1.754418	3.361791	0	0	0	112.996582	0	0	15.140479	0	20.265572	149.679413	0	0	0	0	29.579384	1.987794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280333	0	0	1.078614	3.31736	0	0	0	0.404194	0	2.752607	0	0	1.000982	0	0	0	0	0
ENST00000539693.1	ENSG00000184162.7	152.110046	38.116692	107.155998	686.627808	264.19986	210.074982	251.088623	57.101082	366.538696	677.530945	242.466263	219.654312	130.663071	79.177422	170.945969	205.036011	429.833618	256.158997	269.054657	45.905521	21.167824	246.007294	174.974747	70.614891	475.443329	384.54364	143.896698	713.324524	169.945526	310.234833	337.598114	192.937805	45.239384	239.077087	51.957645	248.193115	336.828613	66.512398	51.668892	41.968739	174.741302	11.345805	366.687073	83.018188	170.287704	300.544891	297.628845	244.455597	197.180191	242.037399	437.736877	435.598053	107.887177	579.280212	86.835991	259.412506	141.699493	337.170898	141.040161	20.08087	393.330505	60.372505	58.311115	70.638176	225.021332	4.876719	156.502884	20.900824	232.904587	10.648641	380.720062	85.363091	245.737625	183.299133	446.171295	21.874823	97.975098	22.589285	229.174606	4.420342	82.556595	97.562286	338.563568	124.980354	74.513077	65.534714	189.808853	171.244522	278.161194	25.204557	177.390366
ENST00000331552.5	ENSG00000184162.7	200.15683	215.536377	245.039688	231.679337	75.348213	181.236191	105.5606	329.397461	163.375488	120.888947	160.876801	153.039886	333.284363	443.103882	238.303406	348.799805	457.351379	305.16864	426.874847	513.411499	261.213928	221.342041	554.481567	29.354029	10.159085	203.919373	94.320068	309.94278	223.994293	408.49234	301.982727	182.918625	5.705773	231.920212	613.032776	509.765198	633.12738	352.107666	210.015045	602.75177	0	202.844772	400.448547	158.760803	149.182281	514.896973	157.641052	274.522369	193.795059	220.62056	140.230957	36.612911	93.128311	136.130722	289.036499	241.586548	44.547337	195.358276	125.863411	651.127563	107.045662	94.268173	607.705872	7.584578	246.91275	283.480499	871.047729	138.447769	398.17926	105.720818	92.535454	187.424698	213.334045	27.966461	73.229507	243.818665	683.979553	197.452393	283.996674	227.682739	781.149841	176.469284	198.34317	251.689133	296.993225	47.465408	247.271072	18.57321	487.65155	166.453949	411.352264
ENST00000544883.1	ENSG00000184162.7	14.579292	7.407581	3.444155	9.350718	18.504505	5.421838	34.157852	23.606174	11.776752	12.784265	12.072522	0	0	0	20.62892	13.488148	9.132091	15.144317	15.562198	11.817732	15.401855	11.188498	7.844211	45.331135	18.20932	17.35885	0	30.439613	9.334636	10.622688	24.35251	11.912649	6.232755	7.007621	5.428257	12.187888	3.395032	0	0	50.858486	14.274036	25.590326	11.326881	0	8.529548	12.565621	13.837982	10.354777	18.600569	8.538572	33.019348	0	13.685364	25.891052	2.800534	0	0	0	7.463396	3.055093	60.581593	0	31.854059	16.800817	12.431661	0	3.700438	0	7.411262	6.663185	22.871052	11.507869	15.985258	7.007346	8.129726	11.061766	7.259265	1.821921	21.504585	0	4.617923	46.266693	23.280537	6.239309	23.500685	0	11.132095	14.320911	0	10.962971	55.803207
ENST00000537399.1	ENSG00000184162.7	256.60321	87.196991	114.841698	141.447708	137.181641	41.651478	301.388855	331.970978	95.951096	181.650925	77.511673	74.696762	174.824905	247.040665	48.103756	97.568314	180.432816	76.920319	410.158752	215.944351	129.412018	86.898331	143.300308	224.865448	257.344269	307.48468	41.691223	62.418621	123.862656	263.04068	176.850739	62.680782	169.875229	39.389378	31.331242	170.20282	42.848919	305.131409	82.322632	167.162201	214.531357	176.219086	123.834984	64.846359	67.916496	96.451576	111.756752	103.554207	301.521576	140.188187	157.41684	61.723934	25.299141	205.594376	15.326965	194.531525	67.003654	145.646881	37.600185	51.112278	148.012421	77.229301	146.948914	123.243156	125.083389	7.642775	20.696606	78.641273	67.117798	167.916336	206.664932	21.704336	34.223114	47.100483	160.642319	134.158707	132.602921	3.508927	234.791016	3.452321	32.308647	117.130539	149.47197	116.278152	158.275345	16.292477	195.625717	76.236786	152.236649	119.236694	396.849945
ENST00000420605.1	ENSG00000184162.7	6.788652	112.969688	7.518467	24.519339	0	125.516609	25.682549	39.924274	32.357948	199.66481	0	2.609032	29.24761	18.000805	256.017944	143.107758	91.502121	28.002937	29.023092	20.676893	10.328338	7.362273	131.39917	24.201506	48.843987	45.996147	6.09202	48.46587	10.399074	18.841621	23.2159	125.550148	42.907749	133.87352	4.57499	99.650963	10.059108	43.751019	11.781638	145.258835	53.576679	0	89.702538	123.748016	100.083977	15.527808	15.135362	110.069077	37.705917	68.093018	17.59597	45.156261	0	33.103615	0	118.692116	82.749519	15.269783	8.032845	4.603058	15.126867	22.069338	36.970413	5.172978	9.138453	0	59.114822	44.010139	128.990555	60.910072	14.089235	0	14.906861	63.397598	0	0	8.183188	0.627462	30.830359	4.4446	0	0	13.401197	10.805227	0	19.00079	157.053375	0	41.9506	48.141823	44.904598
ENST00000538165.1	ENSG00000184162.7	0	0	0	4.958528	0	0.098896	0	0	0	6.191719	3.072733	0	11.652708	0	0	0	0	0	11.326464	8.244013	10.476032	3.201585	0	19.580015	0	8.771973	0	0	4.463833	14.767801	0	0	66.039108	8.732183	9.675085	0	0	12.128592	0	0	2.876617	0	0	0	0	12.013163	0	0	4.131155	4.333323	0	0	0	0	0	9.629372	0	0	0	2.157123	0	0	254.209595	4.560305	19.993065	0	2.010765	0	0	4.503265	0	0	3.813084	0	5.827159	0	0	0	5.717178	0	0	0	0	4.007827	15.923286	34.504925	0	0	0	0	0
ENST00000539678.1	ENSG00000184162.7	2.975461	4.772668	0	3.416541	5.883164	0	4.791687	0	0	5.955753	0	0	8.851342	6.944705	0	0	4.860959	7.023571	0	0	0	0	0	4.052966	0	0	0	6.483808	0	0	0	0	0	0	0	0	1.741002	20.78336	0	0	0	0	0	1.70342	0	0	0	3.739537	8.644426	5.851614	0	0	0	0	0	7.74069	0	4.554159	0	2.197982	7.051576	6.060677	0	0	4.045677	0	0	0	4.309298	3.63768	6.402614	0	0	3.228979	0	0	0	0	5.049685	0	2.368846	9.874534	9.994029	0	6.794366	1.201685	3.351535	3.624567	0	0	10.793012
ENST00000246785.2	ENSG00000126453.4	935.250183	144.38385	845.07666	1014.752075	115.290489	153.518097	882.522827	891.236267	242.045578	1136.53064	749.939636	1191.119873	532.841797	1084.662842	1047.461792	125.609474	398.448029	172.716095	1563.505615	867.233154	172.008026	1003.100586	875.821899	955.562317	1441.662231	863.122131	704.75592	1362.469849	752.787903	248.14978	808.336121	506.931152	190.421478	1099.630127	1458.533813	1338.123413	1299.666626	1145.59729	341.24295	1019.763855	950.134399	176.542862	1978.404907	183.960068	729.611572	1044.863525	190.583206	78.954727	207.655182	940.98468	788.666504	445.449615	122.225853	1038.393311	684.883179	1226.236816	626.431274	1004.997925	131.7034	173.94397	1266.928345	93.757889	943.234253	109.120911	188.819351	131.770309	681.25885	656.641724	840.953003	128.772873	248.37355	190.096359	246.361969	163.660645	679.439514	689.850708	431.366913	199.271057	309.476563	187.58197	274.507111	686.019775	1182.510864	1270.340454	762.232666	401.729553	349.513397	453.873291	981.238525	784.819397	807.975281
